	vg_image_id	vg_object_id	link_mn	domain	topname	responses	total_responses	split	topname_agreement	jaccard_similarity	raw_responses
513	4711	1656734	http://object-naming-amore.upf.edu//4711_1656734_singleton_obj.png	edificis	casa	{'casa': 7, 'porxo': 1, 'xalet': 1, 'balcó': 1}	10	test	0.7	0.2	{'casa': 7, 'porxe': 1, 'xalet': 1, 'balcó': 1}
516	4725	1072146	http://object-naming-amore.upf.edu//4725_1072146_singleton_obj.png	edificis	casa	{'casa': 8, 'mansió': 1, 'habitatge': 1}	10	test	0.8	0.25	{'casa': 8, 'mansió': 1, 'habitatge': 1}
528	4766	1036813	http://object-naming-amore.upf.edu//4766_1036813_singleton_obj.png	edificis	casa	{'casa': 8, 'edifici': 1, 'cases adossades': 1}	10	test	0.8	0.6666666666666666	{'casa': 7, 'casa amb porxo': 1, 'edifici': 1, 'cases adosades': 1}
537	4884	1564127	http://object-naming-amore.upf.edu//4884_1564127_singleton_obj.png	casa	cadira	"{'cadira': 9, ""cadira d'oficina"": 1}"	10	test	0.9	0.5	"{'cadira': 9, ""cadira d'oficina"": 1}"
543	4911	1564400	http://object-naming-amore.upf.edu//4911_1564400_singleton_obj.png	casa	terra	{'terra': 3, 'moqueta': 2, 'mobles': 1, 'tauleta': 1, 'catifa': 1, 'safata': 1}	9	test	0.3333333333333333	0.3333333333333333	{'terra': 3, 'moqueta': 2, 'mobles': 1, 'tauleta': 1, 'taula': 1, 'catifa': 1, 'safata': 1}
566	61562	1073172	http://object-naming-amore.upf.edu//61562_1073172_seed_ambiguous.png	casa	catifa	{'catifa': 9, 'estora': 1}	10	test	0.9	0.5	{'catifa': 6, 'alfombra': 3, 'estora': 1}
568	61586	1565710	http://object-naming-amore.upf.edu//61586_1565710_singleton_obj.png	gent	àrbitre	{'àrbitre': 2, 'jugador de beisbol': 1, 'persona': 1, 'àrbitre de beisbol': 1, 'beisbol': 1, 'receptor': 1, 'jugador': 1, 'homes': 1, 'home': 1}	10	test	0.2	0.3333333333333333	{'àrbitre': 2, 'jugador de béisbol': 1, 'persona': 1, 'àrbitre de beisbol': 1, 'beisbol': 1, 'catcher': 1, 'jugador': 1, 'homes': 1, 'home': 1}
570	61590	1037380	http://object-naming-amore.upf.edu//61590_1037380_singleton_obj.png	gent	nen	{'nen': 4, 'esquiador': 3, 'surfer de neu': 1, 'patinador': 1, 'esportista': 1}	10	test	0.4	0.125	{'nen': 4, 'esquiador': 3, 'surfer de neu': 1, 'skateboarder': 1, 'esportista': 1}
596	150336	3794890	http://object-naming-amore.upf.edu//150336_3794890_singleton_obj.png	gent	noia	{'noia': 7, 'dona': 2, 'persona': 1}	10	test	0.7	1.0	{'noia': 7, 'dona': 2, 'persona': 1}
611	150418	3794897	http://object-naming-amore.upf.edu//150418_3794897_singleton_obj.png	animals_plantes	cavall	{'cavall': 9, 'estreps': 1}	10	test	0.9	0.5	{'cavall': 8, 'cavall marró': 1, 'estreps': 1}
680	286084	1571800	http://object-naming-amore.upf.edu//286084_1571800_singleton_obj.png	vehicles	camió	{'camió': 9, 'tràiler': 1}	10	test	0.9	0.5	{'camió': 9, 'trailer': 1}
715	498263	3698898	http://object-naming-amore.upf.edu//498263_3698898_singleton_obj.png	casa	pica	{'pica': 8, 'rentamans': 1, 'lavabo': 1}	10	test	0.8	0.5	{'pica': 7, 'rentamans': 1, 'lavabo': 1, 'pica de lavabo': 1}
720	498298	1575357	http://object-naming-amore.upf.edu//498298_1575357_supercat_ambiguous.png	gent	dona	{'dona': 3, 'persona': 2, 'noia': 2, 'dònut': 1, 'pastís': 1}	9	test	0.3333333333333333	0.2	{'dona': 3, 'noia': 2, 'donut': 1, 'transsexual': 1, 'persona': 1, 'persona transgènere': 1, 'pastís': 1}
721	498334	3789881	http://object-naming-amore.upf.edu//498334_3789881_supercat_unique.png	roba	polo	{'polo': 6, 'samarreta': 3, 'jersei': 1}	10	test	0.6	0.25	{'polo': 5, 'samarreta': 3, 'polo verd': 1, 'jersei': 1}
736	712987	1577034	http://object-naming-amore.upf.edu//712987_1577034_seed_ambiguous.png	gent	esquiador	{'esquiador': 5, 'esquiadora': 4, 'noi': 1}	10	test	0.5	0.125	{'esquiador': 5, 'esquiadora': 4, 'noi': 1}
780	713267	1581377	http://object-naming-amore.upf.edu//713267_1581377_singleton_obj.png	vehicles	moto	{'moto': 8, 'motocicleta': 2}	10	test	0.8	0.5	{'moto': 7, 'motocicleta': 2, 'moto carabassa': 1}
803	713472	3434966	http://object-naming-amore.upf.edu//713472_3434966_singleton_obj.png	casa	sofà	{'sofà': 9, 'coixins': 1}	10	test	0.9	0.5	{'sofà': 7, 'sofa': 1, 'sofà vermell': 1, 'coixins': 1}
834	713702	1076871	http://object-naming-amore.upf.edu//713702_1076871_singleton_obj.png	vehicles	tren	{'tren': 6, 'trenet': 2, 'locomotora': 1, 'carrilet': 1}	10	test	0.6	0.25	{'tren': 6, 'trenet': 2, 'locomotora': 1, 'carrilet': 1}
934	1159909	1039963	http://object-naming-amore.upf.edu//1159909_1039963_singleton_obj.png	casa	escriptori	{'escriptori': 3, 'taula': 3, 'ipad': 1, 'tauleta tàctil': 1, 'protector': 1, 'ordinador': 1}	10	test	0.3	0.3333333333333333	{'escriptori': 3, 'taula': 3, 'ipad': 1, 'tablet': 1, 'protector': 1, 'ordinador': 1}
945	1159981	3112697	http://object-naming-amore.upf.edu//1159981_3112697_singleton_obj.png	vehicles	autocar	{'autocar': 4, 'autobús': 2, 'caravana': 1, 'vehicle': 1, 'autocaravana': 1, 'rodes': 1}	10	test	0.4	0.3333333333333333	{'autocar': 4, 'autobús': 2, 'caravana': 1, 'vehicle': 1, 'autocaravana negra': 1, 'rodes': 1}
950	1160027	3607295	http://object-naming-amore.upf.edu//1160027_3607295_singleton_obj.png	casa	banyera	{'banyera': 10}	10	test	1.0	1.0	{'banyera': 10}
952	1160051	1600838	http://object-naming-amore.upf.edu//1160051_1600838_singleton_obj.png	casa	sofà	{'sofà': 9}	9	test	1.0	0.5	{'sofà': 7, 'sofa': 1, 'sofà negre': 1, 'catifa': 1}
959	1160088	1601560	http://object-naming-amore.upf.edu//1160088_1601560_singleton_obj.png	vehicles	moto	{'moto': 7, 'motocicleta': 2, 'motorista': 1}	10	test	0.7	0.5	{'moto': 6, 'motocicleta': 2, 'motorista': 1, 'moto negra': 1}
968	1160203	1720096	http://object-naming-amore.upf.edu//1160203_1720096_singleton_obj.png	casa	llit	{'llit': 9, 'llit de matrimoni': 1}	10	test	0.9	0.5	{'llit': 9, 'llit de matrimoni': 1}
980	1591814	1603919	http://object-naming-amore.upf.edu//1591814_1603919_singleton_obj.png	edificis	banqueta	{'banqueta': 6, 'espectadors': 2, 'públic': 1, 'beisbol': 1}	10	test	0.6	0.0	{'banqueta': 6, 'espectadors': 2, 'públic': 1, 'beisbol': 1}
988	1591904	1605024	http://object-naming-amore.upf.edu//1591904_1605024_singleton_obj.png	vehicles	avió	"{'avió': 9, ""cua d'avió"": 1}"	10	test	0.9	0.5	"{'avió': 8, ""cua d'avió"": 1, 'avió estavellat': 1}"
992	1591965	3708014	http://object-naming-amore.upf.edu//1591965_3708014_supercat_unique.png	casa	peluix	{'peluix': 4, 'ninos': 2, 'os': 1, 'taula': 1, 'taula de càmping': 1, 'jaquetes': 1}	10	test	0.4	0.14285714285714285	{'peluix': 3, 'ninos': 2, 'oso': 1, 'taula': 1, 'taula de camping': 1, 'jaquetes': 1, 'pelutx': 1}
996	1592028	3708212	http://object-naming-amore.upf.edu//1592028_3708212_singleton_obj.png	casa	taula	"{'taula': 6, 'pastís': 2, 'pastis': 1, ""pastís d'aniversari"": 1}"	10	test	0.6	0.25	"{'taula': 6, 'pastís': 2, 'pastis': 1, ""pastís d'aniversari"": 1}"
1011	1592205	3611464	http://object-naming-amore.upf.edu//1592205_3611464_singleton_obj.png	vehicles	avió	{'avió': 9, 'finestretes': 1}	10	test	0.9	0.3333333333333333	{'avió': 8, 'avio': 1, 'finestretes': 1}
1034	1592412	3797865	http://object-naming-amore.upf.edu//1592412_3797865_singleton_obj.png	vehicles	barca	{'barca': 7, 'embarcació': 2, 'vaixell': 1}	10	test	0.7	0.3333333333333333	{'barca': 7, 'embarcació': 2, 'vaixell': 1}
1102	1593036	3196109	http://object-naming-amore.upf.edu//1593036_3196109_singleton_obj.png	casa	sofà	{'sofà': 9, 'seient': 1}	10	test	0.9	0.5	{'sofà': 7, 'sofa': 1, 'sofà de pell': 1, 'seient': 1}
1142	2315401	2870931	http://object-naming-amore.upf.edu//2315401_2870931_supercat_unique.png	roba	camisa	{'camisa': 1, 'camiseta': 1, 'brusa': 1, 'roba': 1}	4	test	0.25	0.0	{'samarreta': 6, 'camisa': 1, 'camiseta': 1, 'brusa': 1, 'roba': 1}
1163	2315509	3576609	http://object-naming-amore.upf.edu//2315509_3576609_singleton_obj.png	animals_plantes	gat	{'gat': 10}	10	test	1.0	1.0	{'gat': 9, 'gat negre': 1}
1168	2315539	3333612	http://object-naming-amore.upf.edu//2315539_3333612_supercat_unique.png	casa	banc	{'banc': 7, 'gos': 3}	10	test	0.7	0.3333333333333333	{'banc': 7, 'gos': 2, 'gos amb amo': 1}
1204	2315708	2866438	http://object-naming-amore.upf.edu//2315708_2866438_singleton_obj.png	casa	ganivet	{'ganivet': 6, 'tallada de plàtan': 1, 'rodanxa de plàtan': 1}	8	test	0.75	0.3333333333333333	{'ganivet': 6, 'plàtan': 1, 'tallada de plàtan': 1, 'rodantxa de platan': 1, 'tallant plàtan': 1}
1254	2315931	3623781	http://object-naming-amore.upf.edu//2315931_3623781_singleton_obj.png	animals_plantes	ocell	{'ocell': 8, 'agró': 1, 'martinet': 1}	10	test	0.8	0.3333333333333333	{'ocell': 8, 'agró o bernat pescaire': 1, 'martinet blau': 1}
1264	2315994	3330627	http://object-naming-amore.upf.edu//2315994_3330627_seed_ambiguous.png	animals_plantes	girafa	{'girafa': 7, 'girafes': 3}	10	test	0.7	0.5	{'girafa': 7, 'girafes': 3}
1268	2316008	3791133	http://object-naming-amore.upf.edu//2316008_3791133_supercat_unique.png	casa	taula	{'taula': 8, 'escriptori': 1, 'paper': 1}	10	test	0.8	0.6666666666666666	{'taula': 8, 'escriptori': 1, 'paper': 1}
1292	2316156	3443343	http://object-naming-amore.upf.edu//2316156_3443343_singleton_obj.png	gent	noia	{'noia': 5, 'dona': 3, 'passatgera': 1, 'bossa': 1}	10	test	0.5	0.16666666666666666	{'noia': 5, 'dona': 3, 'passatgera': 1, 'bossa': 1}
1306	2316232	1055167	http://object-naming-amore.upf.edu//2316232_1055167_singleton_obj.png	vehicles	barca	{'barca': 5, 'vaixell': 2, 'popa': 1, 'proa': 1, 'números': 1}	10	test	0.5	0.2	{'barca': 5, 'popa': 1, 'baixell': 1, 'vaixell': 1, 'proa': 1, 'nùmeros': 1}
1308	2316235	3482657	http://object-naming-amore.upf.edu//2316235_3482657_supercat_unique.png	edificis	pont	"{'pont': 8, ""pont d'autopista"": 1}"	9	test	0.8888888888888888	0.3333333333333333	{'pont': 8, 'pont autopista': 1, 'entrada a ciutat': 1}
1314	2316247	2931503	http://object-naming-amore.upf.edu//2316247_2931503_seed_ambiguous.png	animals_plantes	vaca	{'vaca': 7, 'vedell': 1, 'taques': 1, 'malla': 1}	10	test	0.7	0.25	{'vaca': 7, 'vedell': 1, 'taques': 1, 'malla': 1}
1322	2316279	3436868	http://object-naming-amore.upf.edu//2316279_3436868_singleton_obj.png	animals_plantes	gat	{'gat': 8, 'mascota': 1, 'orelles': 1}	10	test	0.8	0.25	{'gat': 8, 'mascota': 1, 'orelles': 1}
1332	2316318	1054630	http://object-naming-amore.upf.edu//2316318_1054630_singleton_obj.png	casa	banc	{'banc': 10}	10	test	1.0	0.5	{'banc': 9, 'banc de fusta': 1}
1407	2316621	1052702	http://object-naming-amore.upf.edu//2316621_1052702_singleton_obj.png	vehicles	vaixell	{'vaixell': 6, 'embarcació': 1, 'barca de pesca': 1, 'pesquer': 1, 'barca': 1}	10	test	0.6	0.2	{'vaixell': 5, 'embarcació': 1, 'barca de pesca': 1, 'baixell': 1, 'pesquer': 1, 'barca': 1}
1414	2316635	1052662	http://object-naming-amore.upf.edu//2316635_1052662_singleton_obj.png	animals_plantes	gos	{'gos': 9, 'aigua': 1}	10	test	0.9	0.5	{'gos': 8, 'gos a la neu': 1, 'aigua': 1}
1465	2316823	3129249	http://object-naming-amore.upf.edu//2316823_3129249_singleton_obj.png	animals_plantes	cavall	{'cavall': 9, 'platja': 1}	10	test	0.9	0.5	{'cavall': 9, 'platja': 1}
1475	2316881	1051404	http://object-naming-amore.upf.edu//2316881_1051404_singleton_obj.png	vehicles	avioneta	{'avioneta': 7, 'avió': 3}	10	test	0.7	0.5	{'avioneta': 7, 'avió': 3}
1516	2317073	3295096	http://object-naming-amore.upf.edu//2317073_3295096_singleton_obj.png	vehicles	avió	{'avió': 7, 'hèlix': 1, 'avioneta': 1, 'ales': 1}	10	test	0.7	0.25	{'avió': 7, 'hèlix': 1, 'avioneta': 1, 'ales': 1}
1539	2317185	3187292	http://object-naming-amore.upf.edu//2317185_3187292_singleton_obj.png	gent	noi	{'noi': 4, 'skater': 2, 'noia': 1, 'patinador': 1, 'home': 1, 'pantaló': 1}	10	test	0.4	0.25	{'noi': 4, 'skater': 2, 'noia': 1, 'patinador': 1, 'home': 1, 'pantalò': 1}
1613	2317461	3383570	http://object-naming-amore.upf.edu//2317461_3383570_singleton_obj.png	casa	llit	{'llit': 8, 'cobrellit': 1, 'coixins': 1}	10	test	0.8	0.3333333333333333	{'llit': 8, 'cobrellit': 1, 'coixins': 1}
1618	2317476	3060280	http://object-naming-amore.upf.edu//2317476_3060280_supercat_ambiguous.png	gent	home	{'home': 9, 'comandaments': 1}	10	test	0.9	0.25	{'home': 9, 'comandaments': 1}
1624	2317497	3269787	http://object-naming-amore.upf.edu//2317497_3269787_supercat_ambiguous.png	gent	jugador	{'jugador': 3, 'home': 2, 'noi': 2, 'casc': 1, 'batedor': 1, 'bat': 1}	10	test	0.3	0.3333333333333333	{'jugador': 3, 'home': 2, 'noi': 2, 'casc': 1, 'batedor': 1, 'bat': 1}
1634	2317541	3115113	http://object-naming-amore.upf.edu//2317541_3115113_supercat_ambiguous.png	vehicles	tren	{'tren': 7, 'vagó': 1, 'màquina de tren': 1, 'locomotora': 1}	10	test	0.7	0.25	{'tren': 7, 'vagó': 1, 'màquina de tren': 1, 'locomotora': 1}
1680	2317743	1017821	http://object-naming-amore.upf.edu//2317743_1017821_singleton_obj.png	menjar	frànkfurt	{'frànkfurt': 5, 'entrepà': 3, 'salsa': 1, 'mostassa': 1}	10	test	0.5	0.16666666666666666	{'frankfurt': 5, 'entrepà': 3, 'salsa': 1, 'mostassa': 1}
1695	2317819	1017099	http://object-naming-amore.upf.edu//2317819_1017099_supercat_ambiguous.png	menjar	pizza	{'pizza': 10}	10	test	1.0	1.0	{'pizza': 10}
1711	2317863	1016673	http://object-naming-amore.upf.edu//2317863_1016673_supercat_unique.png	animals_plantes	gat	{'gat': 10}	10	test	1.0	1.0	{'gat': 8, 'gat negre': 2}
1759	2318065	3162979	http://object-naming-amore.upf.edu//2318065_3162979_seed_ambiguous.png	gent	noi	{'noi': 6, 'jove': 1, 'skater': 1, 'patinador': 1, 'patí': 1}	10	test	0.6	0.125	{'noi': 6, 'jove': 1, 'skater': 1, 'patinador': 1, 'skate': 1}
1823	2318299	3701747	http://object-naming-amore.upf.edu//2318299_3701747_supercat_unique.png	roba	vestit	{'vestit': 6, 'colze': 2, 'cos': 1}	9	test	0.6666666666666666	0.14285714285714285	{'vestit': 6, 'colze': 1, 'dona': 1, 'cos': 1, 'colce': 1}
1829	2318321	3501844	http://object-naming-amore.upf.edu//2318321_3501844_singleton_obj.png	menjar	entrepà	{'entrepà': 6, 'serp': 1, 'farcit': 1, 'pa': 1}	9	test	0.6666666666666666	0.4	{'entrepà': 5, 'broma': 1, 'serp': 1, 'farcit': 1, 'entrepa': 1, 'pà': 1}
1913	2318653	3252150	http://object-naming-amore.upf.edu//2318653_3252150_seed_ambiguous.png	menjar	pizza	{'pizza': 3, 'formatge': 2, 'menjar': 2, 'tomàquet': 1, 'formatge fos': 1, 'pernil': 1}	10	test	0.3	0.42857142857142855	{'pizza': 3, 'formatge': 2, 'menjar': 2, 'tomaquet': 1, 'formatge fos': 1, 'pernil': 1}
1921	2318682	1008219	http://object-naming-amore.upf.edu//2318682_1008219_singleton_obj.png	casa	taula	{'taula': 4, 'espiral': 2, 'peu de làmpada': 1, 'artilugi': 1, 'peu': 1, 'base': 1}	10	test	0.4	0.14285714285714285	{'taula': 4, 'espiral': 2, 'peu de làmpara': 1, 'artilugi': 1, 'peu': 1, 'base': 1}
1927	2318709	3656860	http://object-naming-amore.upf.edu//2318709_3656860_singleton_obj.png	gent	noi	{'noi': 4, 'nen': 3, 'jove': 1, 'jugador': 1}	9	test	0.4444444444444444	0.14285714285714285	{'noi': 4, 'nen': 3, 'jove': 1, 'jugador': 1, 'jugar': 1}
1957	2318816	1006867	http://object-naming-amore.upf.edu//2318816_1006867_singleton_obj.png	roba	jaqueta	{'jaqueta': 5, 'braços': 1, 'bufanda': 1, 'dona': 1, 'roba': 1}	9	test	0.5555555555555556	0.1	{'jaqueta': 5, 'braços': 1, 'bufanda': 1, 'dona parlant per telèfon': 1, 'roba': 1, 'parlar': 1}
1967	2318853	2970422	http://object-naming-amore.upf.edu//2318853_2970422_singleton_obj.png	vehicles	tren	{'tren': 8, 'lateral de tren': 1, 'vagó': 1}	10	test	0.8	0.3333333333333333	{'tren': 8, 'lateral de tren': 1, 'vagò': 1}
1995	2318958	3413384	http://object-naming-amore.upf.edu//2318958_3413384_supercat_unique.png	casa	banc	{'banc': 9, 'seure': 1}	10	test	0.9	0.3333333333333333	{'banc': 9, 'seure': 1}
2034	2319130	2893891	http://object-naming-amore.upf.edu//2319130_2893891_singleton_obj.png	casa	llit	{'llit': 9, 'llit de matrimoni': 1}	10	test	0.9	0.5	{'llit': 9, 'llit de matrimoni': 1}
2062	2319243	3479984	http://object-naming-amore.upf.edu//2319243_3479984_singleton_obj.png	casa	finestra	{'finestra': 10}	10	test	1.0	1.0	{'finestra': 10}
2070	2319291	2791899	http://object-naming-amore.upf.edu//2319291_2791899_singleton_obj.png	animals_plantes	vaca	{'vaca': 8, 'vedella': 2}	10	test	0.8	0.5	{'vaca': 8, 'vedella': 2}
2109	2319473	3945447	http://object-naming-amore.upf.edu//2319473_3945447_supercat_unique.png	roba	vestit	{'vestit': 8, 'esquena': 1, 'llaç': 1}	10	test	0.8	0.3333333333333333	{'vestit': 8, 'esquena': 1, 'llaç': 1}
2131	2319561	3101444	http://object-naming-amore.upf.edu//2319561_3101444_singleton_obj.png	animals_plantes	cavall	{'cavall': 9, 'genet': 1}	10	test	0.9	0.5	{'cavall': 9, 'genet': 1}
2145	2319606	1000334	http://object-naming-amore.upf.edu//2319606_1000334_singleton_obj.png	animals_plantes	gat	{'gat': 9, 'ulleres': 1}	10	test	0.9	0.5	{'gat': 9, 'ulleres': 1}
2151	2319626	1000205	http://object-naming-amore.upf.edu//2319626_1000205_singleton_obj.png	animals_plantes	gos	{'gos': 9, 'alforges': 1}	10	test	0.9	0.5	{'gos': 9, 'alforges': 1}
2154	2319638	2855573	http://object-naming-amore.upf.edu//2319638_2855573_supercat_unique.png	menjar	pizza	{'pizza': 8, 'formatge fos': 1, 'menjar': 1}	10	test	0.8	0.3333333333333333	{'pizza': 8, 'formatge fos': 1, 'menjar': 1}
2175	2319738	3169783	http://object-naming-amore.upf.edu//2319738_3169783_singleton_obj.png	animals_plantes	girafa	{'girafa': 8, 'girafes': 1, 'família': 1}	10	test	0.8	0.3333333333333333	{'girafa': 8, 'girafes': 1, 'famìlia': 1}
2180	2319764	998981	http://object-naming-amore.upf.edu//2319764_998981_singleton_obj.png	animals_plantes	gos	{'gos': 9, 'blanc': 1}	10	test	0.9	0.5	{'gos': 9, 'blanc': 1}
2200	2319842	3387596	http://object-naming-amore.upf.edu//2319842_3387596_supercat_unique.png	roba	vestit	{'vestit': 3, 'samarreta': 3, 'espatlla': 1, 'camisa': 1, 'flors estampades': 1, 'estampat': 1}	10	test	0.3	0.25	{'vestit': 3, 'samarreta': 3, 'espatlla': 1, 'camisa': 1, 'flors estampades': 1, 'estampat': 1}
2251	2320078	3258212	http://object-naming-amore.upf.edu//2320078_3258212_singleton_obj.png	animals_plantes	cavall	{'cavall': 9, 'córrer': 1}	10	test	0.9	0.5	{'cavall': 9, 'còrrer': 1}
2269	2320159	995593	http://object-naming-amore.upf.edu//2320159_995593_singleton_obj.png	roba	vestit	{'vestit': 8, 'colze': 1, 'braç': 1}	10	test	0.8	0.25	{'vestit': 8, 'colze': 1, 'braç': 1}
2294	2320285	2968346	http://object-naming-amore.upf.edu//2320285_2968346_singleton_obj.png	vehicles	cotxe	{'cotxe': 7, 'jeep': 1, 'cotxe de safari': 1, 'safari': 1}	10	test	0.7	0.3333333333333333	{'cotxe': 7, 'jeep': 1, 'cotxe de safari': 1, 'safari': 1}
2315	2320381	3619810	http://object-naming-amore.upf.edu//2320381_3619810_singleton_obj.png	edificis	casa	{'casa': 10}	10	test	1.0	0.5	{'casa': 10}
2327	2320486	3431075	http://object-naming-amore.upf.edu//2320486_3431075_singleton_obj.png	vehicles	moto	{'moto': 9, 'vehicle': 1}	10	test	0.9	0.25	{'moto': 7, 'vehicle': 1, 'moto, motocicleta': 1, 'moto, ciclomotor': 1}
2331	2320516	3114235	http://object-naming-amore.upf.edu//2320516_3114235_seed_ambiguous.png	casa	sofà	{'sofà': 10}	10	test	1.0	1.0	{'sofà': 9, 'sofa o sofallit': 1}
2336	2320540	3260125	http://object-naming-amore.upf.edu//2320540_3260125_singleton_obj.png	gent	nen	{'nen': 10}	10	test	1.0	1.0	{'nen': 9, 'nen, noi, nano, xic, xiquet': 1}
2372	2320729	2998644	http://object-naming-amore.upf.edu//2320729_2998644_supercat_unique.png	roba	camisa	{'camisa': 9}	9	test	1.0	0.5	{'camisa': 8, 'camisa i corbata': 1, 'corbata': 1}
2377	2320763	1049321	http://object-naming-amore.upf.edu//2320763_1049321_singleton_obj.png	casa	catifa	{'catifa': 8, 'terra': 1, 'estora': 1}	10	test	0.8	0.3333333333333333	{'catifa': 7, 'terra': 1, 'catifa, terra': 1, 'estora, catifa': 1}
2390	2320922	3533662	http://object-naming-amore.upf.edu//2320922_3533662_singleton_obj.png	vehicles	vaixell	{'vaixell': 5, 'proa': 2, 'drac': 1, 'decoració': 1, 'barca': 1}	10	test	0.5	0.2	{'vaixell': 4, 'proa': 2, 'drac': 1, 'vaixell o veler': 1, 'decoració, nom, drac': 1, 'barca': 1}
